"scenario","audit_rate","replicate","method","estimate","true_moment","brier","auc"
"transported",0.01,12,"Plug-in: Target-audit same-X",0.0580500844198029,0.0570926562306611,0.108935380949696,0.900043481283496
"transported",0.01,12,"Augmented: External same-X",0.059874632077175,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,12,"Plug-in: External same-X",0.0566298645124389,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,12,"Augmented: External same-X distorted",0.0587864256254333,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,12,"Plug-in: External same-X distorted",0.0666616666273459,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,12,"Augmented: External same-X recalibrated",0.0610621732905479,0.0570926562306611,0.104976190893496,0.907398754715904
"transported",0.01,12,"Plug-in: External same-X recalibrated",0.0582845550738868,0.0570926562306611,0.104976190893496,0.907398754715904
"transported",0.01,12,"Augmented: External BISG-like",0.0630128297829518,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,12,"Plug-in: External BISG-like",0.0311735885251656,0.0570926562306611,0.126155099493112,0.864292695144373
"transported",0.01,13,"IPW",0.0434802101759626,0.0570926562306611,NA,NA
"transported",0.01,13,"Augmented: Target-audit same-X",0.0632530805567656,0.0570926562306611,0.110062361774493,0.897671873661577
"transported",0.01,13,"Plug-in: Target-audit same-X",0.06044073227562,0.0570926562306611,0.110062361774493,0.897671873661577
"transported",0.01,13,"Augmented: External same-X",0.0601233744566611,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,13,"Plug-in: External same-X",0.0566298645124389,0.0570926562306611,0.103176533513225,0.909079503400913
"transported",0.01,13,"Augmented: External same-X distorted",0.0602435088629714,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,13,"Plug-in: External same-X distorted",0.0666616666273459,0.0570926562306611,0.112782257767614,0.909079503400913
"transported",0.01,13,"Augmented: External same-X recalibrated",0.0605029628358442,0.0570926562306611,0.105592082434691,0.90546886541472
